"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Germany (DE)","Actual Total Load [MW] - Germany (DE)"
"04.01.2016 22:30 - 04.01.2016 22:45","49505","58880"
"04.01.2016 22:45 - 04.01.2016 23:00","48403","57877"
"04.01.2016 23:00 - 04.01.2016 23:15","47224","56602"
"04.01.2016 23:15 - 04.01.2016 23:30","46471","55598"
"04.01.2016 23:30 - 04.01.2016 23:45","45951","54732"
"04.01.2016 23:45 - 05.01.2016 00:00","44871","53869"
"05.01.2016 00:00 - 05.01.2016 00:15","45537","53115"
"05.01.2016 00:15 - 05.01.2016 00:30","45420","52469"
"05.01.2016 00:30 - 05.01.2016 00:45","44790","51755"
"05.01.2016 00:45 - 05.01.2016 01:00","44900","50874"
"05.01.2016 01:00 - 05.01.2016 01:15","44005","50415"
"05.01.2016 01:15 - 05.01.2016 01:30","43688","49742"
"05.01.2016 01:30 - 05.01.2016 01:45","43479","49437"
"05.01.2016 01:45 - 05.01.2016 02:00","43326","49370"
"05.01.2016 02:00 - 05.01.2016 02:15","43318","48585"
"05.01.2016 02:15 - 05.01.2016 02:30","42933","48187"
"05.01.2016 02:30 - 05.01.2016 02:45","42822","48325"
"05.01.2016 02:45 - 05.01.2016 03:00","42756","48637"
"05.01.2016 03:00 - 05.01.2016 03:15","42973","48705"
"05.01.2016 03:15 - 05.01.2016 03:30","43026","48812"
"05.01.2016 03:30 - 05.01.2016 03:45","42992","49096"
"05.01.2016 03:45 - 05.01.2016 04:00","43417","48995"
"05.01.2016 04:00 - 05.01.2016 04:15","43277","49312"
"05.01.2016 04:15 - 05.01.2016 04:30","43969","49350"
"05.01.2016 04:30 - 05.01.2016 04:45","43572","49783"
"05.01.2016 04:45 - 05.01.2016 05:00","43973","49768"
"05.01.2016 05:00 - 05.01.2016 05:15","45182","51645"
"05.01.2016 05:15 - 05.01.2016 05:30","45118","52139"
"05.01.2016 05:30 - 05.01.2016 05:45","46013","52764"
"05.01.2016 05:45 - 05.01.2016 06:00","46379","53606"
"05.01.2016 06:00 - 05.01.2016 06:15","48455","55594"
"05.01.2016 06:15 - 05.01.2016 06:30","49624","57553"
"05.01.2016 06:30 - 05.01.2016 06:45","51120","59262"
"05.01.2016 06:45 - 05.01.2016 07:00","52353","60378"
"05.01.2016 07:00 - 05.01.2016 07:15","53652","61905"
"05.01.2016 07:15 - 05.01.2016 07:30","53059","63429"
"05.01.2016 07:30 - 05.01.2016 07:45","53678","64615"
"05.01.2016 07:45 - 05.01.2016 08:00","54739","65744"
"05.01.2016 08:00 - 05.01.2016 08:15","55283","66521"
"05.01.2016 08:15 - 05.01.2016 08:30","55417","66731"
"05.01.2016 08:30 - 05.01.2016 08:45","55624","67168"
"05.01.2016 08:45 - 05.01.2016 09:00","55738","67487"
"05.01.2016 09:00 - 05.01.2016 09:15","55943","67316"
"05.01.2016 09:15 - 05.01.2016 09:30","56231","67470"
"05.01.2016 09:30 - 05.01.2016 09:45","56467","67841"
"05.01.2016 09:45 - 05.01.2016 10:00","56952","68152"
"05.01.2016 10:00 - 05.01.2016 10:15","56946","68466"
"05.01.2016 10:15 - 05.01.2016 10:30","57213","68508"
"05.01.2016 10:30 - 05.01.2016 10:45","57494","68828"
"05.01.2016 10:45 - 05.01.2016 11:00","57625","69212"
"05.01.2016 11:00 - 05.01.2016 11:15","57745","69558"
