"MTU","Scheduled Generation [MW] (D) - Austria (AT)","Scheduled Consumption [MW] (D) - Austria (AT)"
"07.01.2018 12:00 - 07.01.2018 13:00 (CET/CEST)","5610","0"
"07.01.2018 13:00 - 07.01.2018 14:00 (CET/CEST)","5353","0"
"07.01.2018 14:00 - 07.01.2018 15:00 (CET/CEST)","5256","0"
"07.01.2018 15:00 - 07.01.2018 16:00 (CET/CEST)","5374","0"
"07.01.2018 16:00 - 07.01.2018 17:00 (CET/CEST)","5587","0"
"07.01.2018 17:00 - 07.01.2018 18:00 (CET/CEST)","5883","0"
"07.01.2018 18:00 - 07.01.2018 19:00 (CET/CEST)","6025","0"
"07.01.2018 19:00 - 07.01.2018 20:00 (CET/CEST)","5935","0"
"07.01.2018 20:00 - 07.01.2018 21:00 (CET/CEST)","5700","0"
"07.01.2018 21:00 - 07.01.2018 22:00 (CET/CEST)","5520","0"
"07.01.2018 22:00 - 07.01.2018 23:00 (CET/CEST)","5394","0"
"07.01.2018 23:00 - 08.01.2018 00:00 (CET/CEST)","5089","0"
"08.01.2018 00:00 - 08.01.2018 01:00 (CET/CEST)","4831","0"
"08.01.2018 01:00 - 08.01.2018 02:00 (CET/CEST)","4829","0"
"08.01.2018 02:00 - 08.01.2018 03:00 (CET/CEST)","4867","0"
"08.01.2018 03:00 - 08.01.2018 04:00 (CET/CEST)","5018","0"
"08.01.2018 04:00 - 08.01.2018 05:00 (CET/CEST)","5137","0"
"08.01.2018 05:00 - 08.01.2018 06:00 (CET/CEST)","5329","0"
"08.01.2018 06:00 - 08.01.2018 07:00 (CET/CEST)","6182","0"
"08.01.2018 07:00 - 08.01.2018 08:00 (CET/CEST)","7283","0"
"08.01.2018 08:00 - 08.01.2018 09:00 (CET/CEST)","8830","0"
"08.01.2018 09:00 - 08.01.2018 10:00 (CET/CEST)","7829","0"
"08.01.2018 10:00 - 08.01.2018 11:00 (CET/CEST)","7806","0"
"08.01.2018 11:00 - 08.01.2018 12:00 (CET/CEST)","7750","0"
"08.01.2018 12:00 - 08.01.2018 13:00 (CET/CEST)","7640","0"
"08.01.2018 13:00 - 08.01.2018 14:00 (CET/CEST)","7645","0"
"08.01.2018 14:00 - 08.01.2018 15:00 (CET/CEST)","7495","0"
"08.01.2018 15:00 - 08.01.2018 16:00 (CET/CEST)","7577","0"
"08.01.2018 16:00 - 08.01.2018 17:00 (CET/CEST)","7670","0"
"08.01.2018 17:00 - 08.01.2018 18:00 (CET/CEST)","7877","0"
"08.01.2018 18:00 - 08.01.2018 19:00 (CET/CEST)","7865","0"
"08.01.2018 19:00 - 08.01.2018 20:00 (CET/CEST)","7621","0"
"08.01.2018 20:00 - 08.01.2018 21:00 (CET/CEST)","6997","0"
"08.01.2018 21:00 - 08.01.2018 22:00 (CET/CEST)","6410","0"
